benchmark,lexa,effekt,koka_named,koka,ocaml
countdown,0.0,58.0,3721.0,2008.0,2468.0
fibonacci_recursive,718.0,1659.0,1356.0,1346.0,1404.0
product_early,146.0,279.0,1628.0,1636.0,150.0
iterator,0.0,115.0,436.0,269.0,262.0
nqueens,411.0,144.0,2070.0,1959.0,854.0
generator,1261.0,1536.0,9474.0,9337.0,1085.0
tree_explore,189.0,292.0,293.0,285.0,172.0
triples,267.0,35.0,1868.0,2336.0,424.0
resume_nontail,170.0,113.0,1504.0,1434.0,265.0
parsing_dollars,326.0,117.0,3042.0,3163.0,1888.0
handler_sieve,570.0,3482.0,2180.0,2216.0,2824.0
resume_nontail_2,170.0,258.0,407620.0,406230.0,391.0
scheduler,322.0,1892866.0,,2975.0,467.0
interruptible_iterator,176.0,1225211.0,1032.0,,237190.0
